;Kc [-];
;Allen et al., 2009;Rallo et al., 2021
01/01/2018;0,90;0,65
02/01/2018;0,90;0,65
03/01/2018;0,90;0,65
04/01/2018;0,90;0,65
05/01/2018;0,90;0,65
06/01/2018;0,90;0,65
07/01/2018;0,90;0,65
08/01/2018;0,90;0,65
09/01/2018;0,90;0,65
10/01/2018;0,90;0,65
11/01/2018;0,90;0,65
12/01/2018;0,90;0,65
13/01/2018;0,90;0,65
14/01/2018;0,90;0,65
15/01/2018;0,90;0,65
16/01/2018;0,90;0,65
17/01/2018;0,90;0,65
18/01/2018;0,90;0,65
19/01/2018;0,90;0,65
20/01/2018;0,90;0,65
21/01/2018;0,90;0,65
22/01/2018;0,90;0,65
23/01/2018;0,90;0,65
24/01/2018;0,90;0,65
25/01/2018;0,90;0,65
26/01/2018;0,90;0,65
27/01/2018;0,90;0,65
28/01/2018;0,90;0,65
29/01/2018;0,90;0,65
30/01/2018;0,90;0,65
31/01/2018;0,90;0,65
01/02/2018;0,90;0,65
02/02/2018;0,90;0,65
03/02/2018;0,90;0,65
04/02/2018;0,90;0,65
05/02/2018;0,90;0,65
06/02/2018;0,90;0,65
07/02/2018;0,90;0,65
08/02/2018;0,90;0,65
09/02/2018;0,90;0,65
10/02/2018;0,90;0,65
11/02/2018;0,90;0,65
12/02/2018;0,90;0,65
13/02/2018;0,90;0,65
14/02/2018;0,90;0,65
15/02/2018;0,90;0,65
16/02/2018;0,90;0,65
17/02/2018;0,90;0,65
18/02/2018;0,90;0,65
19/02/2018;0,90;0,65
20/02/2018;0,90;0,65
21/02/2018;0,90;0,65
22/02/2018;0,90;0,65
23/02/2018;0,90;0,65
24/02/2018;0,90;0,65
25/02/2018;0,90;0,65
26/02/2018;0,90;0,65
27/02/2018;0,90;0,65
28/02/2018;0,90;0,65
01/03/2018;0,90;0,65
02/03/2018;0,90;0,65
03/03/2018;0,90;0,65
04/03/2018;0,90;0,65
05/03/2018;0,90;0,65
06/03/2018;0,90;0,65
07/03/2018;0,90;0,65
08/03/2018;0,90;0,65
09/03/2018;0,90;0,65
10/03/2018;0,90;0,65
11/03/2018;0,90;0,65
12/03/2018;0,90;0,65
13/03/2018;0,90;0,65
14/03/2018;0,90;0,65
15/03/2018;0,90;0,65
16/03/2018;0,90;0,65
17/03/2018;0,90;0,65
18/03/2018;0,90;0,65
19/03/2018;0,90;0,65
20/03/2018;0,90;0,65
21/03/2018;0,90;0,65
22/03/2018;0,90;0,65
23/03/2018;0,90;0,65
24/03/2018;0,90;0,65
25/03/2018;0,90;0,65
26/03/2018;0,90;0,65
27/03/2018;0,90;0,65
28/03/2018;0,90;0,65
29/03/2018;0,90;0,65
30/03/2018;0,90;0,65
31/03/2018;0,90;0,65
01/04/2018;0,889;0,645
02/04/2018;0,877;0,640
03/04/2018;0,866;0,635
04/04/2018;0,855;0,631
05/04/2018;0,844;0,626
06/04/2018;0,832;0,621
07/04/2018;0,821;0,616
08/04/2018;0,810;0,611
09/04/2018;0,798;0,606
10/04/2018;0,787;0,602
11/04/2018;0,776;0,597
12/04/2018;0,765;0,592
13/04/2018;0,753;0,587
14/04/2018;0,742;0,582
15/04/2018;0,731;0,577
16/04/2018;0,719;0,573
17/04/2018;0,708;0,568
